;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Running nr;Customer id;;;Products;;;;;;;;;;;;;; Price per unit ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;A;B;C;D;E;F;G;H;I;K;L;;;; A ; B ; C ; D ; E ; F ; G ; H ; I ; K ; L ;;;;;;;;;;;;;;
114;129;;;20;15;0;13;0;0;0;0;25;12;8;93;;; € 18,00 ; € 10,00 ; € -   ; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € 15,00 ; € 15,00 ; € 20,00 ;;;;;;;;;;;;;;
115;119;;;6;0;0;18;39;0;0;0;0;52;50;165;;; € 20,00 ; € -   ; € -   ; € 16,00 ; € 18,00 ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € 19,00 ;;;;;;;;;;;;;;
116;7;;;10;0;79;0;0;0;0;2;3;0;0;94;;; € 16,00 ; € -   ; € 16,00 ; € -   ; € -   ; € -   ; € -   ; € 17,00 ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
117;25;;;12;0;5;0;10;0;99;41;0;0;46;213;;; € 15,00 ; € -   ; € 28,00 ; € -   ; € 20,00 ; € -   ; € 5,00 ; € 16,00 ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
118;10;;;13;0;28;17;0;20;0;0;4;0;19;101;;; € 17,00 ; € -   ; € 31,00 ; € 8,00 ; € -   ; € 149,00 ; € -   ; € -   ; € 17,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
119;120;;;12;0;41;0;7;0;0;0;26;11;19;116;;; € 15,00 ; € -   ; € 30,00 ; € -   ; € 20,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 18,00 ; € 15,00 ;;;;;;;;;;;;;;
120;38;;;19;0;0;13;0;24;22;0;28;0;19;125;;; € 19,00 ; € -   ; € -   ; € 20,00 ; € -   ; € 115,00 ; € 10,00 ; € -   ; € 20,00 ; € -   ; € 20,00 ;;;;;;;;;;;;;;
121;140;;;18;4;20;0;0;50;9;13;0;62;45;221;;; € 16,00 ; € 6,00 ; € 48,00 ; € -   ; € -   ; € 103,00 ; € 16,00 ; € 18,00 ; € -   ; € 20,00 ; € 15,00 ;;;;;;;;;;;;;;
122;133;;;13;0;65;6;49;58;78;0;0;106;0;375;;; € 18,00 ; € -   ; € 45,00 ; € 6,00 ; € 18,00 ; € 153,00 ; € 22,00 ; € -   ; € -   ; € 20,00 ; € -   ;;;;;;;;;;;;;;
123;119;;;38;49;63;14;44;0;49;52;18;0;0;327;;; € 17,00 ; € 8,00 ; € 32,00 ; € 6,00 ; € 15,00 ; € -   ; € 9,00 ; € 16,00 ; € 16,00 ; € -   ; € -   ;;;;;;;;;;;;;;
124;84;;;9;0;0;0;0;0;29;0;0;76;36;150;;; € 15,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 34,00 ; € -   ; € -   ; € 15,00 ; € 20,00 ;;;;;;;;;;;;;;
125;78;;;7;5;58;0;0;94;0;36;20;0;0;220;;; € 19,00 ; € 9,00 ; € 26,00 ; € -   ; € -   ; € 179,00 ; € -   ; € 19,00 ; € 18,00 ; € -   ; € -   ;;;;;;;;;;;;;;
126;2;;;14;21;0;0;0;40;0;54;0;100;33;262;;; € 19,00 ; € 10,00 ; € -   ; € -   ; € -   ; € 185,00 ; € -   ; € 15,00 ; € -   ; € 16,00 ; € 18,00 ;;;;;;;;;;;;;;
127;139;;;7;0;13;0;31;0;92;0;0;106;0;249;;; € 17,00 ; € -   ; € 19,00 ; € -   ; € 15,00 ; € -   ; € 38,00 ; € -   ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
128;60;;;36;7;64;0;0;76;13;0;0;0;17;213;;; € 17,00 ; € 10,00 ; € 49,00 ; € -   ; € -   ; € 152,00 ; € 34,00 ; € -   ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
129;136;;;26;0;66;1;30;0;22;50;11;109;15;330;;; € 17,00 ; € -   ; € 17,00 ; € 20,00 ; € 17,00 ; € -   ; € 14,00 ; € 15,00 ; € 19,00 ; € 19,00 ; € 20,00 ;;;;;;;;;;;;;;
130;40;;;14;0;89;0;0;84;0;0;14;0;0;201;;; € 19,00 ; € -   ; € 32,00 ; € -   ; € -   ; € 158,00 ; € -   ; € -   ; € 16,00 ; € -   ; € -   ;;;;;;;;;;;;;;
131;112;;;38;38;0;4;0;0;49;27;6;51;0;213;;; € 18,00 ; € 8,00 ; € -   ; € 17,00 ; € -   ; € -   ; € 14,00 ; € 17,00 ; € 19,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
132;143;;;19;0;3;11;0;0;49;48;0;88;0;218;;; € 18,00 ; € -   ; € 35,00 ; € 11,00 ; € -   ; € -   ; € 12,00 ; € 16,00 ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
133;42;;;36;40;50;17;39;0;76;0;23;0;0;281;;; € 20,00 ; € 5,00 ; € 39,00 ; € 11,00 ; € 19,00 ; € -   ; € 6,00 ; € -   ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
134;125;;;20;36;0;0;0;0;0;22;0;0;6;84;;; € 15,00 ; € 5,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
135;69;;;10;31;0;0;0;0;57;33;0;0;0;131;;; € 15,00 ; € 7,00 ; € -   ; € -   ; € -   ; € -   ; € 35,00 ; € 20,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
136;122;;;20;0;50;0;50;0;0;0;0;30;8;158;;; € 15,00 ; € -   ; € 42,00 ; € -   ; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € 15,00 ;;;;;;;;;;;;;;
137;1;;;8;24;0;0;0;0;93;0;15;0;48;188;;; € 19,00 ; € 7,00 ; € -   ; € -   ; € -   ; € -   ; € 38,00 ; € -   ; € 17,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
138;14;;;32;0;0;17;0;65;0;0;10;0;0;124;;; € 18,00 ; € -   ; € -   ; € 17,00 ; € -   ; € 179,00 ; € -   ; € -   ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
139;142;;;34;46;98;0;28;0;0;23;0;0;40;269;;; € 15,00 ; € 8,00 ; € 35,00 ; € -   ; € 17,00 ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € 16,00 ;;;;;;;;;;;;;;
140;125;;;22;7;0;17;0;0;0;24;0;0;31;101;;; € 15,00 ; € 9,00 ; € -   ; € 7,00 ; € -   ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € 17,00 ;;;;;;;;;;;;;;
141;26;;;4;32;39;11;0;16;0;0;0;73;0;175;;; € 18,00 ; € 9,00 ; € 42,00 ; € 16,00 ; € -   ; € 131,00 ; € -   ; € -   ; € -   ; € 20,00 ; € -   ;;;;;;;;;;;;;;
142;124;;;20;0;0;7;0;0;41;5;15;69;0;157;;; € 15,00 ; € -   ; € -   ; € 13,00 ; € -   ; € -   ; € 21,00 ; € 17,00 ; € 15,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
143;43;;;30;22;0;7;0;91;60;0;0;0;0;210;;; € 20,00 ; € 10,00 ; € -   ; € 18,00 ; € -   ; € 142,00 ; € 25,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
144;63;;;16;0;52;0;41;42;93;0;18;0;0;262;;; € 18,00 ; € -   ; € 34,00 ; € -   ; € 18,00 ; € 147,00 ; € 10,00 ; € -   ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
145;132;;;8;0;0;4;21;95;57;0;12;0;40;237;;; € 19,00 ; € -   ; € -   ; € 17,00 ; € 20,00 ; € 110,00 ; € 32,00 ; € -   ; € 19,00 ; € -   ; € 17,00 ;;;;;;;;;;;;;;
146;11;;;3;0;0;2;20;97;26;0;29;9;43;229;;; € 19,00 ; € -   ; € -   ; € 20,00 ; € 15,00 ; € 186,00 ; € 31,00 ; € -   ; € 20,00 ; € 17,00 ; € 16,00 ;;;;;;;;;;;;;;
147;104;;;3;30;0;5;27;0;25;0;21;29;0;140;;; € 16,00 ; € 10,00 ; € -   ; € 16,00 ; € 18,00 ; € -   ; € 6,00 ; € -   ; € 15,00 ; € 17,00 ; € -   ;;;;;;;;;;;;;;
148;30;;;15;0;98;11;0;25;0;53;24;91;0;317;;; € 20,00 ; € -   ; € 37,00 ; € 6,00 ; € -   ; € 192,00 ; € -   ; € 19,00 ; € 17,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
149;48;;;22;22;49;0;13;9;0;34;5;0;46;200;;; € 18,00 ; € 10,00 ; € 23,00 ; € -   ; € 15,00 ; € 144,00 ; € -   ; € 18,00 ; € 20,00 ; € -   ; € 18,00 ;;;;;;;;;;;;;;
150;58;;;18;0;47;12;31;96;0;33;21;6;0;264;;; € 18,00 ; € -   ; € 38,00 ; € 9,00 ; € 18,00 ; € 195,00 ; € -   ; € 17,00 ; € 19,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
151;23;;;36;0;0;19;26;10;0;45;0;98;0;234;;; € 17,00 ; € -   ; € -   ; € 17,00 ; € 18,00 ; € 100,00 ; € -   ; € 16,00 ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
152;45;;;38;41;0;2;0;0;57;57;8;0;0;203;;; € 19,00 ; € 5,00 ; € -   ; € 11,00 ; € -   ; € -   ; € 19,00 ; € 18,00 ; € 15,00 ; € -   ; € -   ;;;;;;;;;;;;;;
153;49;;;19;0;0;0;31;25;0;0;0;0;0;75;;; € 17,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 190,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
154;14;;;34;0;0;0;45;0;83;29;19;0;18;228;;; € 18,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ; € 31,00 ; € 20,00 ; € 17,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
155;64;;;0;47;0;14;0;69;76;57;0;0;34;297;;; € -   ; € 6,00 ; € -   ; € 15,00 ; € -   ; € 172,00 ; € 26,00 ; € 16,00 ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
156;54;;;38;31;0;0;43;0;0;4;7;12;0;135;;; € 18,00 ; € 7,00 ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € 16,00 ; € 15,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
157;128;;;0;0;0;0;0;33;0;53;22;79;0;187;;; € -   ; € -   ; € -   ; € -   ; € -   ; € 106,00 ; € -   ; € 20,00 ; € 16,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
158;93;;;10;0;0;19;3;5;83;0;0;0;0;120;;; € 19,00 ; € -   ; € -   ; € 16,00 ; € 19,00 ; € 179,00 ; € 34,00 ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
159;42;;;22;7;0;0;0;19;68;0;21;23;0;160;;; € 17,00 ; € 6,00 ; € -   ; € -   ; € -   ; € 126,00 ; € 14,00 ; € -   ; € 16,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
160;88;;;18;49;0;4;23;35;1;0;7;0;0;137;;; € 18,00 ; € 9,00 ; € -   ; € 16,00 ; € 18,00 ; € 103,00 ; € 29,00 ; € -   ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
161;103;;;16;13;36;0;18;28;0;32;17;0;23;183;;; € 15,00 ; € 9,00 ; € 41,00 ; € -   ; € 17,00 ; € 122,00 ; € -   ; € 18,00 ; € 17,00 ; € -   ; € 18,00 ;;;;;;;;;;;;;;
162;120;;;10;48;0;12;39;0;0;0;0;105;39;253;;; € 17,00 ; € 9,00 ; € -   ; € 8,00 ; € 20,00 ; € -   ; € -   ; € -   ; € -   ; € 20,00 ; € 15,00 ;;;;;;;;;;;;;;
163;65;;;32;0;59;0;38;30;79;16;13;0;9;276;;; € 20,00 ; € -   ; € 16,00 ; € -   ; € 19,00 ; € 173,00 ; € 37,00 ; € 17,00 ; € 18,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
164;91;;;18;32;0;0;31;12;16;4;0;4;23;140;;; € 16,00 ; € 6,00 ; € -   ; € -   ; € 18,00 ; € 132,00 ; € 32,00 ; € 18,00 ; € -   ; € 15,00 ; € 16,00 ;;;;;;;;;;;;;;
165;92;;;18;31;0;0;0;0;0;0;17;99;0;165;;; € 15,00 ; € 5,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
166;26;;;11;0;28;10;0;0;76;0;27;52;0;204;;; € 19,00 ; € -   ; € 34,00 ; € 19,00 ; € -   ; € -   ; € 23,00 ; € -   ; € 16,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
167;47;;;11;0;0;0;25;24;0;21;0;0;35;116;;; € 16,00 ; € -   ; € -   ; € -   ; € 15,00 ; € 115,00 ; € -   ; € 18,00 ; € -   ; € -   ; € 18,00 ;;;;;;;;;;;;;;
168;76;;;26;23;25;16;50;0;0;50;0;0;0;190;;; € 20,00 ; € 7,00 ; € 23,00 ; € 11,00 ; € 17,00 ; € -   ; € -   ; € 18,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
169;93;;;28;34;0;0;0;20;34;0;14;103;10;243;;; € 16,00 ; € 8,00 ; € -   ; € -   ; € -   ; € 182,00 ; € 39,00 ; € -   ; € 16,00 ; € 15,00 ; € 18,00 ;;;;;;;;;;;;;;
170;20;;;38;0;49;5;0;44;55;37;17;10;0;255;;; € 20,00 ; € -   ; € 36,00 ; € 7,00 ; € -   ; € 105,00 ; € 30,00 ; € 19,00 ; € 16,00 ; € 15,00 ; € -   ;;;;;;;;;;;;;;
171;1;;;6;0;20;0;45;0;0;13;19;59;4;166;;; € 19,00 ; € -   ; € 20,00 ; € -   ; € 15,00 ; € -   ; € -   ; € 19,00 ; € 20,00 ; € 16,00 ; € 15,00 ;;;;;;;;;;;;;;
172;150;;;0;38;77;1;0;0;0;0;0;37;36;189;;; € -   ; € 9,00 ; € 48,00 ; € 11,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 18,00 ; € 17,00 ;;;;;;;;;;;;;;
173;25;;;19;8;8;7;8;51;12;40;0;27;19;199;;; € 17,00 ; € 5,00 ; € 30,00 ; € 10,00 ; € 16,00 ; € 154,00 ; € 27,00 ; € 19,00 ; € -   ; € 16,00 ; € 18,00 ;;;;;;;;;;;;;;
174;27;;;36;0;36;13;0;18;0;57;0;0;0;160;;; € 17,00 ; € -   ; € 35,00 ; € 19,00 ; € -   ; € 190,00 ; € -   ; € 19,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
175;60;;;13;37;0;0;0;12;47;50;0;0;44;203;;; € 16,00 ; € 6,00 ; € -   ; € -   ; € -   ; € 165,00 ; € 16,00 ; € 16,00 ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
176;146;;;19;33;0;0;0;70;24;38;0;0;0;184;;; € 16,00 ; € 8,00 ; € -   ; € -   ; € -   ; € 160,00 ; € 40,00 ; € 15,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
177;131;;;17;44;0;0;41;0;12;50;0;49;26;239;;; € 20,00 ; € 8,00 ; € -   ; € -   ; € 18,00 ; € -   ; € 39,00 ; € 20,00 ; € -   ; € 15,00 ; € 18,00 ;;;;;;;;;;;;;;
178;37;;;18;0;47;15;47;0;58;14;8;86;0;293;;; € 20,00 ; € -   ; € 50,00 ; € 14,00 ; € 18,00 ; € -   ; € 37,00 ; € 15,00 ; € 19,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
179;147;;;30;0;0;0;0;66;0;16;29;71;0;212;;; € 18,00 ; € -   ; € -   ; € -   ; € -   ; € 167,00 ; € -   ; € 19,00 ; € 16,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
180;143;;;6;0;0;19;50;0;0;59;0;23;17;174;;; € 20,00 ; € -   ; € -   ; € 17,00 ; € 18,00 ; € -   ; € -   ; € 17,00 ; € -   ; € 19,00 ; € 18,00 ;;;;;;;;;;;;;;
181;92;;;28;42;0;0;0;91;0;37;27;0;10;235;;; € 18,00 ; € 7,00 ; € -   ; € -   ; € -   ; € 171,00 ; € -   ; € 17,00 ; € 17,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
182;18;;;10;0;51;8;26;0;0;0;0;14;0;109;;; € 16,00 ; € -   ; € 23,00 ; € 5,00 ; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € 20,00 ; € -   ;;;;;;;;;;;;;;
183;18;;;3;0;10;2;0;0;50;59;0;17;45;186;;; € 16,00 ; € -   ; € 26,00 ; € 6,00 ; € -   ; € -   ; € 5,00 ; € 19,00 ; € -   ; € 17,00 ; € 17,00 ;;;;;;;;;;;;;;
184;98;;;4;32;0;1;0;13;0;59;0;100;0;209;;; € 17,00 ; € 8,00 ; € -   ; € 6,00 ; € -   ; € 123,00 ; € -   ; € 18,00 ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
185;141;;;7;28;0;6;14;0;4;0;9;80;0;148;;; € 15,00 ; € 7,00 ; € -   ; € 7,00 ; € 16,00 ; € -   ; € 7,00 ; € -   ; € 20,00 ; € 16,00 ; € -   ;;;;;;;;;;;;;;
186;88;;;22;0;3;0;0;88;69;5;7;0;0;194;;; € 18,00 ; € -   ; € 38,00 ; € -   ; € -   ; € 146,00 ; € 29,00 ; € 19,00 ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
187;123;;;12;0;81;5;0;21;0;0;0;1;7;127;;; € 19,00 ; € -   ; € 20,00 ; € 11,00 ; € -   ; € 157,00 ; € -   ; € -   ; € -   ; € 19,00 ; € 17,00 ;;;;;;;;;;;;;;
188;3;;;24;0;70;10;39;82;0;22;0;0;0;247;;; € 16,00 ; € -   ; € 35,00 ; € 10,00 ; € 16,00 ; € 162,00 ; € -   ; € 15,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
189;101;;;15;22;86;0;0;42;0;13;0;8;0;186;;; € 18,00 ; € 6,00 ; € 21,00 ; € -   ; € -   ; € 126,00 ; € -   ; € 16,00 ; € -   ; € 18,00 ; € -   ;;;;;;;;;;;;;;
190;17;;;8;0;95;0;20;80;0;0;27;58;27;315;;; € 17,00 ; € -   ; € 44,00 ; € -   ; € 19,00 ; € 151,00 ; € -   ; € -   ; € 18,00 ; € 15,00 ; € 18,00 ;;;;;;;;;;;;;;
191;85;;;6;0;44;0;1;0;53;0;0;0;10;114;;; € 18,00 ; € -   ; € 27,00 ; € -   ; € 16,00 ; € -   ; € 14,00 ; € -   ; € -   ; € -   ; € 19,00 ;;;;;;;;;;;;;;
192;127;;;30;42;52;0;0;0;58;0;0;23;15;220;;; € 16,00 ; € 5,00 ; € 33,00 ; € -   ; € -   ; € -   ; € 27,00 ; € -   ; € -   ; € 15,00 ; € 16,00 ;;;;;;;;;;;;;;
193;96;;;4;0;0;14;0;0;0;0;0;2;0;20;;; € 15,00 ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 20,00 ; € -   ;;;;;;;;;;;;;;
194;144;;;24;16;0;0;37;0;0;0;30;0;46;153;;; € 17,00 ; € 9,00 ; € -   ; € -   ; € 17,00 ; € -   ; € -   ; € -   ; € 15,00 ; € -   ; € 15,00 ;;;;;;;;;;;;;;
195;68;;;8;0;10;0;0;0;92;0;12;0;19;141;;; € 20,00 ; € -   ; € 33,00 ; € -   ; € -   ; € -   ; € 6,00 ; € -   ; € 17,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
196;118;;;18;40;0;10;0;42;0;32;16;0;0;158;;; € 16,00 ; € 7,00 ; € -   ; € 10,00 ; € -   ; € 113,00 ; € -   ; € 15,00 ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
197;129;;;0;0;0;0;0;20;0;21;0;0;7;48;;; € -   ; € -   ; € -   ; € -   ; € -   ; € 192,00 ; € -   ; € 18,00 ; € -   ; € -   ; € 15,00 ;;;;;;;;;;;;;;
198;49;;;20;33;0;0;10;0;0;0;0;54;21;138;;; € 16,00 ; € 7,00 ; € -   ; € -   ; € 19,00 ; € -   ; € -   ; € -   ; € -   ; € 17,00 ; € 19,00 ;;;;;;;;;;;;;;
199;124;;;4;4;12;0;0;19;0;0;28;32;30;129;;; € 16,00 ; € 5,00 ; € 24,00 ; € -   ; € -   ; € 110,00 ; € -   ; € -   ; € 16,00 ; € 15,00 ; € 16,00 ;;;;;;;;;;;;;;
200;11;;;4;16;97;13;48;81;0;37;21;0;21;338;;; € 19,00 ; € 5,00 ; € 39,00 ; € 13,00 ; € 15,00 ; € 192,00 ; € -   ; € 15,00 ; € 17,00 ; € -   ; € 15,00 ;;;;;;;;;;;;;;
201;14;;;10;0;0;18;0;59;0;0;0;0;0;87;;; € 15,00 ; € -   ; € -   ; € 17,00 ; € -   ; € 133,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
202;17;;;15;30;0;10;0;0;0;0;0;109;7;171;;; € 17,00 ; € 8,00 ; € -   ; € 11,00 ; € -   ; € -   ; € -   ; € -   ; € -   ; € 17,00 ; € 17,00 ;;;;;;;;;;;;;;
203;111;;;1;49;10;0;0;91;96;39;0;0;7;293;;; € 17,00 ; € 10,00 ; € 26,00 ; € -   ; € -   ; € 124,00 ; € 22,00 ; € 18,00 ; € -   ; € -   ; € 15,00 ;;;;;;;;;;;;;;
204;95;;;7;0;0;0;0;78;72;0;0;31;0;188;;; € 17,00 ; € -   ; € -   ; € -   ; € -   ; € 139,00 ; € 20,00 ; € -   ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
205;143;;;6;0;0;16;42;88;49;0;1;0;0;202;;; € 16,00 ; € -   ; € -   ; € 12,00 ; € 16,00 ; € 155,00 ; € 27,00 ; € -   ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
206;22;;;16;49;0;14;0;0;0;0;30;0;0;109;;; € 20,00 ; € 5,00 ; € -   ; € 13,00 ; € -   ; € -   ; € -   ; € -   ; € 19,00 ; € -   ; € -   ;;;;;;;;;;;;;;
207;146;;;34;1;0;9;0;11;31;18;0;89;19;212;;; € 19,00 ; € 7,00 ; € -   ; € 7,00 ; € -   ; € 135,00 ; € 36,00 ; € 16,00 ; € -   ; € 18,00 ; € 20,00 ;;;;;;;;;;;;;;
208;33;;;9;0;1;0;27;13;0;0;0;65;0;115;;; € 16,00 ; € -   ; € 46,00 ; € -   ; € 15,00 ; € 158,00 ; € -   ; € -   ; € -   ; € 15,00 ; € -   ;;;;;;;;;;;;;;
209;76;;;7;34;5;9;0;34;0;0;0;0;0;89;;; € 19,00 ; € 7,00 ; € 28,00 ; € 20,00 ; € -   ; € 143,00 ; € -   ; € -   ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
210;38;;;3;40;0;14;18;0;23;0;12;0;46;156;;; € 20,00 ; € 9,00 ; € -   ; € 20,00 ; € 18,00 ; € -   ; € 13,00 ; € -   ; € 19,00 ; € -   ; € 19,00 ;;;;;;;;;;;;;;
211;16;;;17;0;27;13;30;35;67;5;5;94;19;312;;; € 17,00 ; € -   ; € 37,00 ; € 20,00 ; € 19,00 ; € 163,00 ; € 5,00 ; € 17,00 ; € 19,00 ; € 16,00 ; € 17,00 ;;;;;;;;;;;;;;
212;133;;;0;0;0;0;0;73;0;29;0;36;29;167;;; € -   ; € -   ; € -   ; € -   ; € -   ; € 170,00 ; € -   ; € 20,00 ; € -   ; € 17,00 ; € 20,00 ;;;;;;;;;;;;;;
213;34;;;7;19;46;14;49;95;61;40;5;0;0;336;;; € 15,00 ; € 7,00 ; € 45,00 ; € 12,00 ; € 19,00 ; € 197,00 ; € 31,00 ; € 16,00 ; € 20,00 ; € -   ; € -   ;;;;;;;;;;;;;;
214;66;;;4;41;0;3;0;0;0;0;28;0;15;91;;; € 18,00 ; € 8,00 ; € -   ; € 15,00 ; € -   ; € -   ; € -   ; € -   ; € 20,00 ; € -   ; € 18,00 ;;;;;;;;;;;;;;
215;27;;;7;20;24;17;40;74;18;0;0;99;34;333;;; € 16,00 ; € 6,00 ; € 41,00 ; € 20,00 ; € 19,00 ; € 163,00 ; € 37,00 ; € -   ; € -   ; € 20,00 ; € 17,00 ;;;;;;;;;;;;;;
216;120;;;14;24;0;10;5;89;1;0;3;35;0;181;;; € 17,00 ; € 5,00 ; € -   ; € 6,00 ; € 18,00 ; € 117,00 ; € 24,00 ; € -   ; € 20,00 ; € 19,00 ; € -   ;;;;;;;;;;;;;;
217;88;;;22;0;0;0;0;79;46;0;1;0;23;171;;; € 15,00 ; € -   ; € -   ; € -   ; € -   ; € 102,00 ; € 36,00 ; € -   ; € 18,00 ; € -   ; € 16,00 ;;;;;;;;;;;;;;
218;122;;;14;0;0;16;0;12;33;0;0;98;0;173;;; € 19,00 ; € -   ; € -   ; € 17,00 ; € -   ; € 145,00 ; € 5,00 ; € -   ; € -   ; € 20,00 ; € -   ;;;;;;;;;;;;;;
219;150;;;8;10;62;16;0;0;0;30;0;87;2;215;;; € 19,00 ; € 6,00 ; € 45,00 ; € 18,00 ; € -   ; € -   ; € -   ; € 17,00 ; € -   ; € 16,00 ; € 15,00 ;;;;;;;;;;;;;;
220;130;;;19;0;0;0;22;23;93;30;0;0;35;222;;; € 19,00 ; € -   ; € -   ; € -   ; € 16,00 ; € 156,00 ; € 18,00 ; € 15,00 ; € -   ; € -   ; € 15,00 ;;;;;;;;;;;;;;
221;116;;;15;37;0;0;37;0;19;18;0;0;0;126;;; € 19,00 ; € 9,00 ; € -   ; € -   ; € 20,00 ; € -   ; € 33,00 ; € 15,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
222;27;;;2;0;0;0;49;33;54;43;0;0;0;181;;; € 17,00 ; € -   ; € -   ; € -   ; € 17,00 ; € 117,00 ; € 6,00 ; € 18,00 ; € -   ; € -   ; € -   ;;;;;;;;;;;;;;
223;38;;;30;0;0;3;0;98;0;0;0;56;0;187;;; € 20,00 ; € -   ; € -   ; € 20,00 ; € -   ; € 112,00 ; € -   ; € -   ; € -   ; € 16,00 ; € -   ;;;;;;;;;;;;;;
224;92;;;8;0;0;9;0;0;27;0;0;49;0;93;;; € 19,00 ; € -   ; € -   ; € 12,00 ; € -   ; € -   ; € 40,00 ; € -   ; € -   ; € 17,00 ; € -   ;;;;;;;;;;;;;;
225;6;;;14;0;0;9;5;56;0;0;21;15;0;120;;; € 16,00 ; € -   ; € -   ; € 10,00 ; € 18,00 ; € 183,00 ; € -   ; € -   ; € 17,00 ; € 20,00 ; € -   ;;;;;;;;;;;;;;
226;60;;;26;0;9;0;0;33;61;48;3;0;0;180;;; € 20,00 ; € -   ; € 32,00 ; € -   ; € -   ; € 154,00 ; € 19,00 ; € 16,00 ; € 17,00 ; € -   ; € -   ;;;;;;;;;;;;;;
227;6;;;3;3;0;0;0;0;47;23;21;3;42;142;;; € 20,00 ; € 8,00 ; € -   ; € -   ; € -   ; € -   ; € 24,00 ; € 18,00 ; € 15,00 ; € 20,00 ; € 19,00 ;;;;;;;;;;;;;;
228;134;;;22;0;0;0;0;60;0;0;3;0;0;85;;; € 16,00 ; € -   ; € -   ; € -   ; € -   ; € 134,00 ; € -   ; € -   ; € 16,00 ; € -   ; € -   ;;;;;;;;;;;;;;
